,is_paid,num_subscribers,average_rating,rating,num_reviews,num_lectures,num_tests,time_created,time_published,discount,price
182,1,10650,4.49112,4.51402,2551,46,0,16568,16585,28.166666666666668,112.66666666666669
183,1,61795,4.61796,4.62425,2547,213,0,17620,17712,6.161458333333334,117.0
184,1,13284,4.67992,4.69332,2541,64,0,16935,17023,6.2562500000000005,117.0
185,1,18909,4.42627,4.38812,2523,64,0,16463,16601,7.041666666666667,130.0
186,1,17758,4.50639,4.46792,2529,244,0,17507,17522,6.161458333333334,117.0
187,1,13359,4.45633,4.48772,2513,29,0,17479,17498,6.161458333333334,117.0
188,1,26516,4.5875,4.61348,2506,17,0,16837,16855,7.041666666666667,26.0
189,1,8934,4.40419,4.40936,2481,31,0,17409,17410,6.161458333333334,39.0
190,1,25650,4.65579,4.67184,2475,67,0,17417,17443,6.161458333333334,117.0
191,1,14976,4.45714,4.48847,2465,37,0,17842,17887,6.161458333333334,117.0
192,1,16397,4.40761,4.40644,2460,28,0,17399,17408,6.161458333333334,117.0
193,1,10481,4.52916,4.51162,2458,66,0,17791,17976,6.161458333333334,117.0
194,1,4910,4.24664,4.21767,2448,6,0,17589,17596,6.161458333333334,43.333333333333336
195,1,15664,4.54528,4.5405,2438,14,0,16062,16062,6.41875,121.33333333333334
196,1,20213,4.44318,4.42275,2435,54,0,16615,16637,6.161458333333334,78.0
197,1,6806,4.36279,4.39561,2432,28,0,17485,17487,6.161458333333334,56.333333333333336
198,1,31777,4.58911,4.5638,2420,38,0,17712,17723,6.3375,117.0
199,1,56552,4.36765,4.36726,2421,91,0,17248,17254,6.161458333333334,117.0
200,1,58044,4.43056,4.48663,2403,11,0,16123,16125,6.161458333333334,17.333333333333336
201,1,50047,4.07692,4.17734,2381,13,0,16123,16129,6.161458333333334,17.333333333333336
202,1,7130,4.46614,4.4505,2360,33,0,17320,17806,6.161458333333334,86.66666666666667
203,1,4122,4.34501,4.32188,2355,41,0,17466,17471,6.161458333333334,21.666666666666668
204,1,26148,4.37712,4.32759,2340,600,0,17756,17759,6.608333333333333,125.66666666666669
205,1,12535,4.25392,4.15825,2324,252,0,17034,17057,6.161458333333334,117.0
206,1,4488,4.40909,4.36141,2322,26,0,17959,17991,6.161458333333334,86.66666666666667
207,1,68110,4.40132,4.41161,2319,78,0,16698,16736,6.161458333333334,117.0
208,1,93749,4.17778,3.99013,2309,41,0,16638,16650,6.161458333333334,82.33333333333334
209,1,7355,4.12662,4.15631,2299,21,0,16641,16656,6.161458333333334,117.0
210,1,5920,4.24384,4.25638,2281,7,0,17197,17201,0.0,39.0
211,1,7816,4.4663,4.46339,2283,17,0,16932,16933,6.161458333333334,21.666666666666668
212,1,14725,4.52475,4.53076,2277,123,0,18029,18030,6.161458333333334,117.0
213,1,12113,4.49656,4.52477,2268,62,0,17219,17246,0.0,173.33333333333334
214,1,14938,4.22952,4.22789,2264,17,0,17479,17485,6.161458333333334,86.66666666666667
215,1,5245,4.55323,4.534,2254,15,0,17577,17586,6.161458333333334,26.0
216,1,19030,4.22131,4.2177,2233,50,0,16804,16843,6.161458333333334,117.0
217,1,11736,4.56774,4.55794,2243,125,0,18040,18128,6.161458333333334,117.0
218,1,10905,4.46429,4.50543,2211,48,0,16802,17111,6.161458333333334,65.0
219,1,6173,4.34411,4.34685,2216,9,0,17889,17932,6.161458333333334,43.333333333333336
220,1,14849,4.52747,4.57436,2201,93,0,16155,16206,6.161458333333334,117.0
221,1,12236,4.35673,4.33008,2201,32,0,16730,16745,6.161458333333334,117.0
222,1,22613,4.66129,4.64454,2187,79,0,16343,16360,6.161458333333334,117.0
223,1,5604,4.39886,4.37929,2187,17,0,16432,16601,0.0,86.66666666666667
224,1,7119,4.56776,4.54714,2183,43,0,15708,16334,7.041666666666667,125.66666666666669
225,1,11048,4.375,4.39441,2179,31,0,16573,16580,6.513541666666667,86.66666666666667
226,1,6184,4.5246,4.52986,2186,19,0,17155,17196,6.161458333333334,65.0
227,1,10254,4.62903,4.6158,2176,61,0,16339,16736,6.161458333333334,117.0
228,1,15966,4.19737,4.15017,2171,17,0,17563,17567,6.161458333333334,17.333333333333336
229,1,67181,4.43866,4.47592,2149,66,0,16720,16756,6.161458333333334,117.0
230,1,44208,4.54703,4.52294,2149,66,0,16304,16315,6.770833333333334,125.66666666666669
231,1,9774,4.38747,4.3368,2148,43,0,17686,17694,6.161458333333334,104.0
232,1,20308,4.59059,4.58394,2126,60,0,16331,16345,6.8656250000000005,130.0
233,1,12917,4.54819,4.58137,2118,125,0,18009,18017,6.161458333333334,117.0
234,1,5835,4.33201,4.29234,2120,37,0,18060,18099,9.479166666666668,117.0
235,1,11762,4.68267,4.60343,2113,87,0,17780,17787,6.161458333333334,117.0
236,1,7068,4.34083,4.25702,2114,49,0,17449,17451,6.41875,121.33333333333334
237,1,14029,4.5507,4.55431,2104,52,0,17001,17004,6.161458333333334,95.33333333333334
238,1,8284,4.43737,4.43639,2105,42,0,16939,17021,6.161458333333334,86.66666666666667
239,1,3834,4.43497,4.39363,2101,9,0,15928,15933,6.161458333333334,56.333333333333336
240,1,11122,4.34524,4.29816,2086,67,0,17086,17098,6.161458333333334,117.0
241,1,6671,4.30429,4.30587,2087,51,0,17338,17401,6.960416666666667,130.0
242,1,8568,4.52767,4.53305,2081,75,0,18101,18102,6.161458333333334,117.0
243,1,8339,4.40152,4.3541,2068,66,0,16679,16748,6.161458333333334,78.0
244,1,11307,4.51852,4.52647,2062,126,0,16472,16785,6.161458333333334,17.333333333333336
245,1,5441,4.3527,4.3197,2059,36,0,17004,17018,6.161458333333334,43.333333333333336
246,1,7026,4.18242,4.1871,2039,34,0,16696,16862,6.513541666666667,82.33333333333334
247,1,8060,4.59507,4.60537,2030,63,0,17366,17411,6.161458333333334,117.0
248,1,40312,4.4878,4.46166,2028,142,0,16535,16563,6.161458333333334,117.0
249,1,7807,4.19909,4.15144,2045,11,0,16580,16595,6.161458333333334,34.66666666666667
250,1,11477,4.41181,4.42593,2028,16,0,17901,17935,6.161458333333334,17.333333333333336
251,1,29496,4.44518,4.48429,2020,493,0,17551,17556,7.475,138.66666666666669
252,1,6062,4.21774,4.16388,2007,19,0,17420,17452,6.3375,43.333333333333336
253,1,5416,4.26867,4.25879,2020,5,0,16119,16155,6.161458333333334,17.333333333333336
254,1,5706,4.30268,4.28764,2000,38,0,17421,17427,6.161458333333334,117.0
255,1,27968,4.56731,4.5452,1988,65,0,17168,17206,6.161458333333334,117.0
256,1,48057,4.36978,4.31345,1988,601,0,17574,17577,6.960416666666667,130.0
257,1,8633,4.304,4.33751,1983,31,0,18226,18233,6.161458333333334,17.333333333333336
258,1,8002,4.47644,4.41913,1975,31,0,16169,16171,6.161458333333334,17.333333333333336
259,1,20515,4.47848,4.4584,1963,91,0,17884,17891,6.513541666666667,121.33333333333334
260,1,12507,4.37143,4.43308,1948,155,0,17041,17067,6.161458333333334,117.0
261,1,5767,4.40571,4.42854,1948,32,0,17540,17546,8.666666666666668,34.66666666666667
262,1,9695,4.47945,4.5157,1942,40,0,16986,16987,28.166666666666668,112.66666666666669
263,1,9448,4.36574,4.42242,1925,58,0,16380,16505,6.2562500000000005,117.0
264,1,12030,4.16207,4.18738,1924,60,0,16395,16402,6.2562500000000005,117.0
265,1,27427,4.13793,4.03375,1919,32,0,16589,16828,6.3375,108.33333333333334
266,1,9750,4.65686,4.66574,1908,54,0,17796,17813,6.161458333333334,86.66666666666667
267,1,7990,4.37,4.31627,1908,16,0,16426,16427,6.161458333333334,78.0
268,1,27263,4.43296,4.47479,1905,83,0,16434,16444,6.161458333333334,86.66666666666667
269,1,5204,4.35952,4.37558,1909,13,0,16025,16041,6.161458333333334,17.333333333333336
270,1,12362,4.31364,4.31781,1899,79,0,16848,16860,0.0,86.66666666666667
271,1,15456,4.13137,4.11688,1876,65,0,17630,17637,7.041666666666667,130.0
272,1,5228,4.62603,4.65299,1866,51,0,18022,18303,6.161458333333334,95.33333333333334
273,1,9413,4.5026,4.5043,1867,49,0,17368,17388,6.161458333333334,117.0
274,1,26593,4.5,4.44865,1860,25,0,16504,16506,6.161458333333334,86.66666666666667
275,1,4192,4.33175,4.30299,1858,12,0,16664,16692,6.161458333333334,26.0
276,1,6789,4.35411,4.35284,1850,24,0,17105,17119,6.41875,99.66666666666669
277,1,8803,4.47926,4.52507,1843,65,0,16315,16416,6.161458333333334,117.0
278,1,12212,4.5,4.49244,1841,36,0,16339,16485,6.161458333333334,117.0
279,1,5976,4.38921,4.37733,1837,31,0,16551,16592,6.161458333333334,86.66666666666667
280,1,8342,4.52301,4.5402,1831,49,0,17458,17462,6.161458333333334,117.0
281,1,12840,4.5297,4.54014,1808,77,0,16763,16787,6.161458333333334,117.0
282,1,12494,4.60577,4.59075,1796,154,0,17326,17372,6.3375,117.0
283,1,6425,4.65596,4.62686,1793,75,0,17721,17736,6.161458333333334,117.0
284,1,10232,4.56552,4.55917,1790,47,0,17718,17722,6.161458333333334,86.66666666666667
285,1,5537,4.27941,4.25551,1787,86,0,16987,17165,6.770833333333334,125.66666666666669
286,1,9179,4.42051,4.39435,1780,30,0,16674,16856,6.161458333333334,17.333333333333336
287,1,56790,4.40441,4.43194,1778,91,0,16745,16751,6.161458333333334,117.0
288,1,19340,4.56488,4.55354,1775,68,0,17985,17991,6.161458333333334,117.0
